x1,x2,k
0.719692736,0.543503673,28
0.614831896,0.508018942,28
0.660535652,0.564650106,28
0.643880614,0.549800736,28
0.675781619,0.543653732,28
0.66636998,0.544589973,28
0.652328211,0.569412865,28
0.712062354,0.561780489,28
0.66208472,0.569369369,28
0.669930218,0.500821522,28
0.66492904,0.524866931,28
0.62806214,0.653586477,28
0.657237196,0.582471307,28
0.65976624,0.491606996,28
0.633689319,0.621410668,28
0.65781767,0.523969836,28
0.662452353,0.580630359,28
0.645669838,0.615304985,28
0.653355991,0.543170932,28
0.645255539,0.578295737,28
0.634896932,0.640881437,28
0.643021285,0.52065439,28
0.629817219,0.547923905,28
0.678837642,0.614475308,28
0.668800002,0.561494506,28
0.63877017,0.574213683,28
0.655162288,0.463188113,305
0.653449322,0.568276544,28
0.646520061,0.587177522,28
0.579268216,0.625656918,28
0.571319143,0.55810838,28
0.713002494,0.577558488,28
0.756617683,0.600785094,28
0.607381347,0.544119134,28
0.641196777,0.571299483,28
0.624542877,0.519548517,28
0.682459341,0.554605903,28
0.63837522,0.546778885,28
0.825897771,0.189047829,46
0.90919914,0.345325047,46
0.87881078,0.287126958,46
0.897440567,0.327934452,46
0.86337246,0.270654118,46
0.890927881,0.329762351,46
0.885174364,0.300384392,46
0.878158601,0.291268819,46
0.83503966,0.205754457,46
0.884190974,0.305651699,46
0.869170367,0.256795359,46
0.889298003,0.33019187,46
0.913199855,0.364316278,46
0.881846316,0.29125142,46
0.863762857,0.279357571,46
0.876297671,0.290320616,46
0.882251509,0.288765652,46
0.879260363,0.28114415,46
0.856280439,0.255080548,46
0.890600084,0.30663361,46
0.865179896,0.269067619,46
0.876577665,0.291707036,46
0.879073701,0.293143475,46
0.856265643,0.252968841,46
0.875094611,0.288884177,46
0.875961907,0.292462771,46
0.840287824,0.207140877,46
0.884843153,0.320249882,46
0.903952114,0.351351351,46
0.873167667,0.27281802,46
0.876330679,0.291279692,46
0.871092759,0.281979264,46
0.878780049,0.291050254,46
0.867115946,0.283747356,46
0.86823478,0.28701387,46
